Date,Close,Open,High,Low,Volume,Type
2018-12-12,1315.8,1315.8,1315.8,1315.8,70.0,Gold
2018-12-13,1313.2,1313.2,1313.2,1313.2,190.0,Gold
2018-12-14,1307.0,1307.0,1307.0,1307.0,30.0,Gold
2018-12-17,1317.4,1317.4,1317.4,1317.4,10.0,Gold
2018-12-18,1318.5,1318.5,1318.5,1318.5,30.0,Gold
2018-12-19,1321.3,1321.3,1321.3,1321.3,270.0,Gold
2018-12-20,1333.1,1333.1,1333.1,1333.1,10.0,Gold
2018-12-21,1323.1,1323.1,1323.1,1323.1,60.0,Gold
2018-12-24,1337.0,1337.0,1337.0,1337.0,30.0,Gold
2018-12-25,1270.75,1272.5,1274.55,1270.65,0.0,Gold
2018-12-26,1338.3,1343.0,1343.0,1343.0,0.0,Gold
2018-12-27,1346.5,1346.5,1346.5,1346.5,30.0,Gold
2018-12-28,1348.3,1348.3,1348.3,1348.3,80.0,Gold
2018-12-31,1347.1,1347.1,1347.1,1347.1,50.0,Gold
2019-01-01,1283.35,1284.7,1284.75,1282.85,0.0,Gold
2019-01-02,1349.5,1349.5,1349.5,1349.5,100.0,Gold
2019-01-03,1359.8,1359.8,1359.8,1359.8,10.0,Gold
2019-01-04,1351.0,1351.8,1351.8,1351.8,0.0,Gold
2019-01-07,1355.2,1355.2,1355.2,1355.2,10.0,Gold
2019-01-08,1351.1,1351.1,1351.1,1351.1,0.0,Gold
2019-01-09,1357.3,1357.3,1357.3,1357.3,100.0,Gold
2019-01-10,1353.0,1353.0,1353.0,1353.0,550.0,Gold
2019-01-11,1355.4,1355.4,1355.4,1355.4,50.0,Gold
2019-01-14,1357.2,1357.2,1357.2,1357.2,400.0,Gold
2019-01-15,1353.7,1353.7,1353.7,1353.7,10.0,Gold
2019-01-16,1359.3,1359.3,1359.3,1359.3,0.0,Gold
2019-01-17,1357.9,1357.9,1357.9,1357.9,30.0,Gold
2019-01-18,1348.1,1348.1,1348.1,1348.1,0.0,Gold
2019-01-20,1282.05,1281.3,1282.7,1280.5,0.0,Gold
2019-01-21,1279.05,1281.95,1282.95,1276.15,0.0,Gold
2019-01-22,1348.4,1348.4,1348.4,1348.4,150.0,Gold
2019-01-23,1349.3,1349.3,1349.3,1349.3,20.0,Gold
2019-01-24,1344.9,1344.9,1344.9,1344.9,50.0,Gold
