Date,Close,Open,High,Low,Volume
2018-03-07,61.15,62.3,62.58,60.58,879119.0
2018-03-08,60.12,61.33,61.4,59.95,720510.0
2018-03-09,62.04,60.27,62.18,60.14,659722.0
2018-03-10,61.81,60.88,62.23,60.32,619144.67
2018-03-11,61.59,61.49,62.28,60.49,578567.33
2018-03-12,61.36,62.1,62.33,60.67,537990.0
2018-03-13,60.71,61.37,61.97,60.27,747738.0
2018-03-14,60.96,60.87,61.33,60.11,665017.0
2018-03-15,61.19,60.95,61.54,60.82,430201.0
2018-03-16,62.34,61.19,62.54,61.08,202493.0
2018-03-17,62.25,61.54,62.48,61.17,173649.33
2018-03-18,62.15,61.88,62.41,61.27,144805.67
2018-03-19,62.06,62.23,62.35,61.36,115962.0
2018-03-20,63.4,62.1,63.81,62.08,717709.0
2018-03-21,65.17,63.72,65.55,63.58,763768.0
2018-03-22,64.3,65.5,65.74,64.14,689172.0
2018-03-23,65.88,64.28,66.0,64.11,752994.0
2018-03-24,65.77,64.82,66.18,64.43,697295.67
2018-03-25,65.66,65.36,66.37,64.76,641597.33
2018-03-26,65.55,65.9,66.55,65.08,585899.0
2018-03-27,65.25,65.53,66.41,64.53,670811.0
2018-03-28,64.38,64.7,65.13,63.72,697678.0
2018-03-29,64.94,64.69,65.26,64.16,562819.0
2018-03-30,64.46,64.75,65.3,63.82,567799.75
2018-03-31,63.98,64.8,65.34,63.48,572780.5
2018-04-01,63.49,64.86,65.38,63.14,577761.25
2018-04-02,63.01,64.91,65.42,62.8,582742.0
2018-04-03,63.51,62.89,63.86,62.86,527289.0
2018-04-04,63.37,63.59,63.64,62.06,760596.0
2018-04-05,63.54,63.6,64.12,63.07,588597.0
2018-04-06,62.06,63.7,63.79,61.81,753262.0
2018-04-07,62.51,63.13,63.73,61.85,720785.0
2018-04-08,62.97,62.57,63.67,61.89,688308.0
2018-04-09,63.42,62.0,63.61,61.93,655831.0
2018-04-10,65.51,63.3,65.86,63.2,840280.0
2018-04-11,66.82,65.59,67.45,65.15,963017.0
2018-04-12,67.07,66.75,67.33,66.0,687468.0
2018-04-13,67.39,67.18,67.76,66.7,624203.0
2018-04-14,67.0,67.2,67.75,66.51,602827.33
2018-04-15,66.61,67.22,67.75,66.32,581451.67
2018-04-16,66.22,67.24,67.74,66.13,560076.0
2018-04-17,66.52,66.42,66.75,65.56,486076.0
2018-04-18,68.47,66.68,68.91,66.56,221664.0
2018-04-19,68.29,68.75,69.56,67.98,125993.0
2018-04-20,68.38,68.26,68.62,67.5,724906.0
2018-04-21,68.47,68.25,68.76,67.38,730251.0
2018-04-22,68.55,68.23,68.89,67.26,735596.0
2018-04-23,68.64,68.22,69.03,67.14,740941.0
2018-04-24,67.7,68.95,69.38,67.54,832296.0
2018-04-25,68.05,67.75,68.18,67.11,764049.0
2018-04-26,68.19,68.03,68.78,67.71,660549.0
2018-04-27,68.1,68.21,68.36,67.64,542549.0
2018-04-28,68.26,68.19,68.69,67.48,613428.0
2018-04-29,68.41,68.17,69.01,67.33,684307.0
2018-04-30,68.57,68.15,69.34,67.17,755186.0
2018-05-01,67.25,68.56,68.9,66.85,694771.0
2018-05-02,67.93,67.49,68.14,66.92,789367.0
2018-05-03,68.43,67.68,68.6,67.21,691219.0
2018-05-04,69.72,68.5,69.97,68.12,690876.0
2018-05-05,70.06,68.95,70.26,68.58,713556.0
2018-05-06,70.39,69.4,70.55,69.05,736236.0
2018-05-07,70.73,69.85,70.84,69.51,758916.0
2018-05-08,69.06,70.03,70.4,67.63,1253566.0
2018-05-09,71.14,70.05,71.36,69.85,863386.0
2018-05-10,71.36,71.23,71.89,70.56,749808.0
2018-05-11,70.7,71.45,71.63,70.45,634145.0
2018-05-12,70.79,71.15,71.51,70.39,620372.0
2018-05-13,70.87,70.84,71.38,70.32,606599.0
2018-05-14,70.96,70.54,71.26,70.26,592826.0
2018-05-15,71.31,71.15,71.92,70.42,815289.0
2018-05-16,71.49,71.02,71.59,70.66,574279.0
