Date,Close,Type
2017-07-10,2427.43,SP500
2017-07-11,2425.53,SP500
2017-07-12,2443.25,SP500
2017-07-13,2447.83,SP500
2017-07-14,2459.27,SP500
2017-07-17,2459.14,SP500
2017-07-18,2460.61,SP500
2017-07-19,2473.83,SP500
2017-07-20,2473.45,SP500
2017-07-21,2472.54,SP500
2017-07-24,2469.91,SP500
2017-07-25,2477.13,SP500
2017-07-26,2477.83,SP500
2017-07-27,2475.42,SP500
2017-07-28,2472.1,SP500
2017-07-31,2470.3,SP500
2017-08-01,2476.35,SP500
2017-08-02,2477.57,SP500
2017-08-03,2472.16,SP500
2017-08-04,2476.83,SP500
2017-08-07,2480.91,SP500
2017-08-08,2474.92,SP500
2017-08-09,2474.02,SP500
2017-08-10,2438.21,SP500
2017-08-11,2441.32,SP500
2017-08-14,2465.84,SP500
2017-08-15,2464.61,SP500
2017-08-16,2468.11,SP500
2017-08-17,2430.01,SP500
2017-08-18,2425.55,SP500
2017-08-21,2428.37,SP500
2017-08-22,2452.51,SP500
2017-08-23,2444.04,SP500
2017-08-24,2438.97,SP500
2017-08-25,2443.05,SP500
2017-08-28,2444.24,SP500
2017-08-29,2446.3,SP500
2017-08-30,2457.59,SP500
2017-08-31,2471.65,SP500
2017-09-01,2476.55,SP500
2017-09-05,2457.85,SP500
2017-09-06,2465.54,SP500
2017-09-07,2465.1,SP500
2017-09-08,2461.43,SP500
2017-09-11,2488.11,SP500
2017-09-12,2496.48,SP500
2017-09-13,2498.37,SP500
2017-09-14,2495.62,SP500
2017-09-15,2500.23,SP500
2017-09-18,2503.87,SP500
2017-09-19,2506.65,SP500
2017-09-20,2508.24,SP500
2017-09-21,2500.6,SP500
2017-09-22,2502.22,SP500
2017-09-25,2496.66,SP500
2017-09-26,2496.84,SP500
2017-09-27,2507.04,SP500
2017-09-28,2510.06,SP500
2017-09-29,2519.36,SP500
2017-10-02,2529.12,SP500
2017-10-03,2534.58,SP500
2017-10-04,2537.74,SP500
2017-10-05,2552.07,SP500
2017-10-06,2549.33,SP500
2017-10-09,2544.73,SP500
2017-10-10,2550.64,SP500
2017-10-11,2555.24,SP500
2017-10-12,2550.93,SP500
2017-10-13,2553.17,SP500
2017-10-16,2557.64,SP500
2017-10-17,2559.36,SP500
2017-10-18,2561.26,SP500
2017-10-19,2562.1,SP500
2017-10-20,2575.21,SP500
2017-10-23,2564.98,SP500
2017-10-24,2569.13,SP500
2017-10-25,2557.15,SP500
2017-10-26,2560.4,SP500
2017-10-27,2581.07,SP500
2017-10-30,2572.83,SP500
2017-10-31,2575.26,SP500
2017-11-01,2579.36,SP500
2017-11-02,2579.85,SP500
2017-11-03,2587.84,SP500
2017-11-06,2591.13,SP500
2017-11-07,2590.64,SP500
2017-11-08,2594.38,SP500
2017-11-09,2584.62,SP500
2017-11-10,2582.3,SP500
2017-11-13,2584.84,SP500
2017-11-14,2578.87,SP500
2017-11-15,2564.62,SP500
2017-11-16,2585.64,SP500
2017-11-17,2578.85,SP500
2017-11-20,2582.14,SP500
2017-11-21,2599.03,SP500
2017-11-22,2597.08,SP500
2017-11-24,2602.42,SP500
2017-11-27,2601.42,SP500
2017-11-28,2627.04,SP500
2017-11-29,2626.07,SP500
2017-11-30,2647.58,SP500
2017-12-01,2642.22,SP500
2017-12-04,2639.44,SP500
2017-12-05,2629.57,SP500
2017-12-06,2629.27,SP500
2017-12-07,2636.98,SP500
2017-12-08,2651.5,SP500
2017-12-11,2659.99,SP500
2017-12-12,2664.11,SP500
2017-12-13,2662.85,SP500
2017-12-14,2652.01,SP500
2017-12-15,2675.81,SP500
2017-12-18,2690.16,SP500
2017-12-19,2681.47,SP500
2017-12-20,2679.25,SP500
2017-12-21,2684.57,SP500
2017-12-22,2683.34,SP500
2017-12-26,2680.5,SP500
2017-12-27,2682.62,SP500
2017-12-28,2687.54,SP500
2017-12-29,2673.61,SP500
2018-01-02,2695.81,SP500
2018-01-03,2713.06,SP500
2018-01-04,2723.99,SP500
2018-01-05,2743.15,SP500
2018-01-08,2747.71,SP500
2018-01-09,2751.29,SP500
2018-01-10,2748.23,SP500
2018-01-11,2767.56,SP500
2018-01-12,2786.24,SP500
2018-01-16,2776.42,SP500
2018-01-17,2802.56,SP500
2018-01-18,2798.03,SP500
2018-01-19,2810.3,SP500
2018-01-22,2832.97,SP500
2018-01-23,2839.13,SP500
2018-01-24,2837.54,SP500
2018-01-25,2839.25,SP500
2018-01-26,2872.87,SP500
2018-01-29,2853.53,SP500
2018-01-30,2822.43,SP500
2018-01-31,2823.81,SP500
2018-02-01,2821.98,SP500
2018-02-02,2762.13,SP500
2018-02-05,2648.94,SP500
2018-02-06,2695.14,SP500
2018-02-07,2681.66,SP500
2018-02-08,2581.0,SP500
2018-02-09,2619.55,SP500
2018-02-12,2656.0,SP500
2018-02-13,2662.94,SP500
2018-02-14,2698.63,SP500
2018-02-15,2731.2,SP500
2018-02-16,2732.22,SP500
2018-02-20,2716.26,SP500
2018-02-21,2701.33,SP500
2018-02-22,2703.96,SP500
2018-02-23,2747.3,SP500
2018-02-26,2779.6,SP500
2018-02-27,2744.28,SP500
2018-02-28,2713.83,SP500
2018-03-01,2677.67,SP500
2018-03-02,2691.25,SP500
2018-03-05,2720.94,SP500
2018-03-06,2728.12,SP500
2018-03-07,2726.8,SP500
2018-03-08,2738.97,SP500
2018-03-09,2786.57,SP500
2018-03-12,2783.02,SP500
2018-03-13,2765.31,SP500
2018-03-14,2749.48,SP500
2018-03-15,2747.33,SP500
2018-03-16,2752.01,SP500
2018-03-19,2712.92,SP500
2018-03-20,2716.94,SP500
2018-03-21,2711.93,SP500
2018-03-22,2643.69,SP500
2018-03-23,2588.26,SP500
2018-03-26,2658.55,SP500
2018-03-27,2612.62,SP500
2018-03-28,2605.0,SP500
2018-03-29,2640.87,SP500
2018-04-02,2581.88,SP500
2018-04-03,2614.45,SP500
2018-04-04,2644.69,SP500
2018-04-05,2662.84,SP500
2018-04-06,2604.47,SP500
2018-04-09,2613.16,SP500
2018-04-10,2656.87,SP500
2018-04-11,2642.19,SP500
2018-04-12,2663.99,SP500
2018-04-13,2656.3,SP500
2018-04-16,2677.84,SP500
2018-04-17,2706.39,SP500
2018-04-18,2708.64,SP500
2018-04-19,2693.13,SP500
2018-04-20,2670.14,SP500
2018-04-23,2670.29,SP500
2018-04-24,2634.56,SP500
2018-04-25,2639.4,SP500
2018-04-26,2666.94,SP500
2018-04-27,2669.91,SP500
2018-04-30,2648.05,SP500
2018-05-01,2654.8,SP500
2018-05-02,2635.67,SP500
2018-05-03,2629.73,SP500
2018-05-04,2663.42,SP500
2018-05-07,2672.63,SP500
2018-05-08,2671.92,SP500
2018-05-09,2697.79,SP500
2018-05-10,2723.07,SP500
2018-05-11,2727.72,SP500
2018-05-14,2730.13,SP500
2018-05-15,2711.45,SP500
2018-05-16,2722.46,SP500
2018-05-17,2720.13,SP500
2018-05-18,2712.97,SP500
2018-05-21,2733.01,SP500
2018-05-22,2724.44,SP500
2018-05-23,2733.29,SP500
2018-05-24,2727.76,SP500
2018-05-25,2721.33,SP500
2018-05-29,2689.86,SP500
2018-05-30,2724.01,SP500
2018-05-31,2705.27,SP500
2018-06-01,2734.62,SP500
2018-06-04,2746.87,SP500
2018-06-05,2748.8,SP500
2018-06-06,2772.35,SP500
2018-06-07,2770.37,SP500
2018-06-08,2779.03,SP500
2018-06-11,2782.0,SP500
2018-06-12,2786.85,SP500
2018-06-13,2775.63,SP500
2018-06-14,2782.49,SP500
2018-06-15,2779.66,SP500
2018-06-18,2773.75,SP500
2018-06-19,2762.59,SP500
2018-06-20,2767.32,SP500
2018-06-21,2749.76,SP500
2018-06-22,2754.88,SP500
2018-06-25,2717.07,SP500
2018-06-26,2723.06,SP500
2018-06-27,2699.63,SP500
2018-06-28,2716.31,SP500
2018-06-29,2718.37,SP500
2018-07-02,2726.71,SP500
2018-07-03,2713.22,SP500
2018-07-05,2736.61,SP500
2018-07-06,2759.82,SP500
2018-07-09,2784.17,SP500
2018-07-10,2793.84,SP500
2018-07-11,2774.02,SP500
2018-07-12,2798.29,SP500
2018-07-13,2801.31,SP500
2018-07-16,2798.43,SP500
2018-07-17,2809.55,SP500
2018-07-18,2815.62,SP500
2018-07-19,2804.49,SP500
2018-07-20,2801.83,SP500
2018-07-23,2806.98,SP500
2018-07-24,2820.4,SP500
2018-07-25,2846.07,SP500
2018-07-26,2837.44,SP500
2018-07-27,2818.82,SP500
2018-07-30,2802.6,SP500
2018-07-31,2816.29,SP500
2018-08-01,2813.36,SP500
2018-08-02,2827.22,SP500
2018-08-03,2840.35,SP500
2018-08-06,2850.4,SP500
2018-08-07,2858.45,SP500
2018-08-08,2857.7,SP500
2018-08-09,2853.58,SP500
2018-08-10,2833.28,SP500
2018-08-13,2821.93,SP500
2018-08-14,2839.96,SP500
2018-08-15,2818.37,SP500
2018-08-16,2840.69,SP500
2018-08-17,2850.13,SP500
2018-08-20,2857.05,SP500
2018-08-21,2862.96,SP500
2018-08-22,2861.82,SP500
2018-08-23,2856.98,SP500
2018-08-24,2874.69,SP500
2018-08-27,2896.74,SP500
2018-08-28,2897.52,SP500
2018-08-29,2914.04,SP500
2018-08-30,2901.13,SP500
2018-08-31,2901.52,SP500
2018-09-04,2896.72,SP500
2018-09-05,2888.6,SP500
2018-09-06,2878.05,SP500
2018-09-07,2871.68,SP500
2018-09-10,2877.13,SP500
